City,Lat,Lng,Temp,Wind Speed,Humidity,Cloudiness,Description,Country
New Norfolk,-42.7802,147.0615,82.4,12.75,44,0,Sky is Clear,AU
Beyneu,45.3214,55.1862,23.27,3.15,88,56,broken clouds,KZ
Cape Town,-33.929,18.4174,62.6,8.05,82,0,Sky is Clear,ZA
Moose Factory,51.2585,-80.6095,-22.01,4.7,74,1,sky is clear,CA
Dikson,73.5069,80.5464,-19.98,8.75,88,0,Sky is Clear,RU
Leningradskiy,69.3833,178.4167,-14.18,5.39,87,0,Sky is Clear,RU
Ushuaia,-54.807,-68.3074,44.6,23.04,81,40,drizzle,AR
Newport,51.5882,-2.9975,34.66,5.82,94,20,few clouds,GB
Camacha,33.0833,-16.3334,60.04,6.93,67,75,broken clouds,PT
Qaanaaq,77.484,-69.3633,-8.96,10.31,81,0,Sky is Clear,GL
Amarwara,22.2956,79.1678,36.27,7.4,74,0,Sky is Clear,IN
Busselton,-33.6445,115.3489,64.08,10.76,100,76,broken clouds,AU
Kodiak,39.9519,-94.7572,17.15,12.75,58,1,sky is clear,US
Chokurdakh,70.6192,147.9022,-28.17,14.45,45,64,broken clouds,RU
Bluff,-23.58,149.0661,75.47,16.46,79,92,light rain,AU
Lappeenranta,61.0582,28.1875,13.55,9.17,92,90,light snow,FI
Saint-Raymond,46.8891,-71.8352,-13.87,4.16,68,20,few clouds,CA
Sayat,38.7828,63.883,59.0,18.34,22,90,dust,TM
Carnarvon,-30.9678,22.1333,59.99,2.82,21,0,Sky is Clear,ZA
Hithadhoo,-0.6,73.0833,82.53,12.1,100,24,few clouds,MV
Upernavik,72.7868,-56.1549,11.25,9.42,97,44,scattered clouds,GL
Sao Filipe,14.8961,-24.4956,75.02,13.0,86,32,scattered clouds,CV
Faya,18.3851,42.4509,56.32,2.15,58,0,Sky is Clear,SA
Bakchar,57.0205,82.0669,-3.15,8.41,76,64,broken clouds,RU
Rabo de Peixe,37.8,-25.5834,57.2,1.12,76,40,scattered clouds,PT
Syracuse,43.0481,-76.1475,17.94,12.75,55,75,broken clouds,US
Constitucion,23.9912,-104.675,66.2,9.17,8,75,broken clouds,MX
Laguna,27.5185,-110.0074,71.6,5.82,35,75,broken clouds,MX
Victoria,5.2785,115.2423,81.5,5.82,83,75,broken clouds,BN
Dargaville,-35.9383,173.863,78.57,14.79,59,0,Sky is Clear,NZ
Albany,42.6512,-73.755,12.63,6.93,48,20,few clouds,US
Mount Gambier,-37.8302,140.7843,75.2,9.17,50,0,Sky is Clear,AU
Port Elizabeth,39.3134,-74.9811,26.02,7.74,70,1,sky is clear,US
Provideniya,64.4238,-173.2276,8.6,2.24,78,0,Sky is Clear,RU
Hobart,-42.8826,147.3281,82.4,12.75,45,0,Sky is Clear,AU
Mataura,-46.1928,168.8643,72.9,2.93,83,12,few clouds,NZ
Iaciara,-14.1015,-46.6344,75.74,2.93,61,8,sky is clear,BR
Ban Nahin,18.2418,104.2122,61.16,2.15,90,80,broken clouds,LA
Punta Arenas,-53.1627,-70.9081,46.4,18.34,61,75,broken clouds,CL
Marzuq,14.4,46.4667,36.68,2.48,84,0,Sky is Clear,YE
Avarua,-21.2078,-159.775,84.2,12.75,89,40,scattered clouds,CK
Hermanus,-34.4176,19.2361,63.5,2.48,84,0,Sky is Clear,ZA
Jamestown,-33.2075,138.6035,73.49,4.38,95,0,Sky is Clear,AU
Yellowknife,62.4541,-114.3774,-27.41,4.7,74,20,few clouds,CA
